ID,Office_PIN,Applicant_City_PIN,Applicant_Gender,Applicant_Marital_Status,Applicant_Occupation,Applicant_Qualification,Manager_Joining_Designation,Manager_Current_Designation,Manager_Grade,Manager_Status,Manager_Gender,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Manager_Business2,Manager_Num_Products2,Business_Sourced
FIN1000001,842001,844120,M,M,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,2.0,1.0,335249.0,28.0,335249.0,28.0,0
FIN1000002,842001,844111,M,S,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,2.0,1.0,335249.0,28.0,335249.0,28.0,1
FIN1000003,800001,844101,M,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,357184.0,24.0,357184.0,24.0,0
FIN1000004,814112,814112,M,S,Salaried,Class XII,Level 1,Level 3,4.0,Confirmation,F,0.0,0.0,318356.0,22.0,318356.0,22.0,0
FIN1000005,814112,815351,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,1.0,230402.0,17.0,230402.0,17.0,0
FIN1000006,814112,814114,M,S,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,247118.0,24.0,247118.0,24.0,1
FIN1000007,842001,844118,M,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,315119.0,27.0,315119.0,27.0,1
FIN1000008,800001,844103,M,M,Salaried,Class XII,Level 1,Level 1,2.0,Confirmation,M,5.0,4.0,117358.0,9.0,117358.0,9.0,0
FIN1000009,209625,206451,M,M,Business,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,244028.0,17.0,244028.0,17.0,1
FIN1000010,211001,212218,M,M,Others,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,851557.0,39.0,851557.0,39.0,1
FIN1000011,520010,520007,M,M,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,148789.0,10.0,148789.0,10.0,1
FIN1000012,533101,534222,F,S,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,2.0,3.0,233726.0,14.0,233726.0,14.0,1
FIN1000013,274001,274001,M,S,Business,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,218901.0,13.0,218901.0,13.0,1
FIN1000014,202001,202002,M,S,Business,Graduate,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,395742.0,19.0,395742.0,19.0,0
FIN1000015,284001,284403,M,M,Others,Class X,Level 1,Level 2,3.0,Confirmation,M,1.0,2.0,173087.0,10.0,173087.0,10.0,1
FIN1000016,520010,521101,M,S,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,88414.0,7.0,88414.0,7.0,1
FIN1000017,834001,834001,M,S,Salaried,Class XII,Level 1,Level 2,3.0,Confirmation,M,1.0,2.0,341667.0,14.0,341667.0,14.0,1
FIN1000018,474008,475005,F,S,Business,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,2.0,1359705.0,24.0,1359705.0,24.0,1
FIN1000019,121002,121002,F,M,Others,Graduate,Level 1,Level 1,2.0,Confirmation,F,5.0,3.0,241031.0,20.0,241031.0,20.0,1
FIN1000020,492001,492001,M,M,Salaried,Graduate,Level 2,Level 2,3.0,Confirmation,M,3.0,1.0,262207.0,7.0,262207.0,7.0,0
FIN1000021,452003,452010,M,S,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,1.0,0.0,11642.0,1.0,11642.0,1.0,0
FIN1000022,834001,835227,M,S,Others,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,177816.0,7.0,177816.0,7.0,0
FIN1000023,802301,802157,M,S,Business,Class XII,Level 1,Level 3,4.0,Confirmation,M,0.0,0.0,409995.0,30.0,409995.0,30.0,1
FIN1000024,211001,211008,M,M,Business,Graduate,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,161931.0,13.0,161931.0,13.0,1
FIN1000026,492001,495001,M,M,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,200561.0,15.0,200561.0,15.0,0
FIN1000027,282001,282001,M,S,Salaried,Graduate,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,288365.0,15.0,288365.0,15.0,0
FIN1000028,751009,759107,M,M,Business,Graduate,Level 2,Level 2,3.0,Confirmation,M,0.0,1.0,367582.0,15.0,367582.0,15.0,1
FIN1000029,800001,844119,M,M,Business,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,246602.0,18.0,246602.0,18.0,1
FIN1000030,282001,283125,M,S,Salaried,Graduate,Level 1,Level 1,2.0,Confirmation,M,2.0,2.0,259059.0,16.0,259059.0,16.0,1
FIN1000031,781005,781037,M,M,Business,Class XII,Level 1,Level 2,3.0,Confirmation,M,3.0,1.0,310459.0,23.0,310459.0,23.0,1
FIN1000032,520010,520010,M,S,Salaried,Class XII,Level 2,Level 2,3.0,Confirmation,M,0.0,0.0,81786.0,7.0,81786.0,7.0,1
FIN1000033,444601,444601,F,M,Others,Class XII,Level 2,Level 4,5.0,Confirmation,F,0.0,0.0,411405.0,21.0,411405.0,21.0,1
FIN1000034,274001,274001,M,M,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,0.0,0.0,110926.0,11.0,110926.0,11.0,1
FIN1000036,560001,561101,M,S,Salaried,Graduate,Level 2,Level 4,5.0,Probation,M,0.0,0.0,0.0,0.0,0.0,0.0,1
FIN1000037,282001,282007,F,S,Others,Class XII,Level 2,Level 3,4.0,Confirmation,M,0.0,0.0,286702.0,19.0,286702.0,19.0,1
FIN1000038,803101,801301,F,S,Salaried,Class X,Level 1,Level 3,4.0,Confirmation,M,1.0,1.0,295775.0,19.0,295775.0,19.0,1
FIN1000039,803101,803107,M,S,Others,Class XII,Level 1,Level 1,2.0,Confirmation,M,2.0,0.0,194597.0,15.0,194597.0,15.0,0
FIN1000040,201010,201301,M,M,Business,Class XII,Level 2,Level 2,3.0,Confirmation,M,3.0,2.0,347412.0,18.0,347412.0,18.0,1
FIN1000041,841428,841440,M,S,Others,Graduate,Level 1,Level 3,4.0,Confirmation,M,0.0,1.0,853436.0,51.0,853436.0,51.0,0
FIN1000042,284001,284203,F,S,Others,Class X,Level 1,Level 2,3.0,Confirmation,M,1.0,1.0,171830.0,16.0,171830.0,16.0,0
FIN1000043,803101,803101,M,S,Others,Class XII,Level 1,Level 2,3.0,Confirmation,M,0.0,0.0,1158533.0,74.0,1158533.0,74.0,1
